Title,Price,Kilometers,Fuel_Type,Transmission
2015 Hyundai i20 Active,₹2.85 lakh,"76,929 km",Petrol,Manual
2018 Maruti Ciaz,₹4.85 lakh,"57,612 km",Petrol,Manual
2012 Maruti Swift,₹1.30 lakh,"87,845 km",Petrol,Manual
2017 Mahindra TUV300,₹2.62 lakh,"71,473 km",Diesel,Manual
2016 Datsun Redi Go,₹1.47 lakh,"75,080 km",Petrol,Manual
2013 Maruti Alto 800,₹1.48 lakh,"56,653 km",Petrol,Manual
2013 Maruti Ertiga,₹2.15 lakh,"87,596 km",Petrol,Manual
2013 Maruti Swift,₹1.93 lakh,"57,084 km",Petrol,Manual
2015 Maruti Wagon R 1.0,₹1.70 lakh,"85,453 km",CNG,Manual
2014 Hyundai Eon,₹1.13 lakh,"83,288 km",Petrol,Manual
2013 Maruti Wagon R 1.0,₹1.70 lakh,"73,687 km",CNG,Manual
2013 Maruti Alto K10,₹1.35 lakh,"95,840 km",Petrol,Manual
2017 Maruti Alto 800,₹1.70 lakh,"56,374 km",CNG,Manual
2020 Maruti Swift,₹5.31 lakh,"67,199 km",Petrol,Missing Transmission
2014 Honda Amaze,₹2.50 lakh,"76,466 km",Petrol,Manual
2013 Hyundai i10,₹1.25 lakh,"80,000 km",Petrol,Missing Transmission
2013 Hyundai i10,₹1.37 lakh,"80,823 km",CNG,Manual
2016 Maruti Alto 800,₹2.08 lakh,"20,274 km",Petrol,Manual
2014 Maruti Wagon R 1.0,₹1.75 lakh,"1,32,475 km",CNG,Manual
2014 Maruti Wagon R 1.0,₹1.83 lakh,"1,64,369 km",CNG,Manual
2014 Maruti Celerio,₹2.15 lakh,"75,295 km",Petrol,Missing Transmission
2013 Honda City,₹1.90 lakh,"88,042 km",Petrol,Manual
2018 Mahindra XUV500,₹5.47 lakh,"48,588 km",Diesel,Manual
2016 Mahindra Kuv100,₹1.60 lakh,"51,048 km",Petrol,Manual
2017 Ford Ecosport,₹2.60 lakh,"1,55,606 km",Diesel,Manual
2025 Maruti New Wagon-R,₹5.50 lakh,"28,181 km",CNG,Manual
2018 Ford Figo Aspire,₹2.81 lakh,"64,960 km",Diesel,Manual
2020 Maruti Baleno,₹4.60 lakh,"73,696 km",Petrol,Manual
2020 Maruti Baleno,₹4.40 lakh,"62,559 km",Petrol,Manual
2014 Maruti Celerio,₹2.60 lakh,"55,064 km",Petrol,Missing Transmission
2018 Maruti Ertiga,₹5.10 lakh,"97,627 km",Petrol,Manual
2017 Tata Hexa,₹4.07 lakh,"1,20,130 km",Diesel,Manual
2013 Ford Ecosport,₹2.10 lakh,"46,754 km",Petrol,Manual
2023 Tata TIGOR,₹5.20 lakh,"11,512 km",Petrol,Manual
2019 Maruti Dzire,₹3.90 lakh,"84,047 km",Petrol,Manual
2019 Honda Amaze,₹4.90 lakh,"1,05,975 km",Petrol,Missing Transmission
2015 Hyundai Verna,₹3.35 lakh,"96,199 km",CNG,Manual
2019 Tata NEXON,₹4.72 lakh,"76,731 km",Petrol,Manual
2018 Maruti Swift,₹4.50 lakh,"47,840 km",Petrol,Missing Transmission
2016 Ford New Figo,₹2.10 lakh,"71,869 km",Diesel,Manual
2014 Honda City,₹3.05 lakh,"82,492 km",Petrol,Manual
2017 Maruti Wagon R 1.0,₹2.95 lakh,"17,658 km",Petrol,Manual
2019 Tata NEXON,₹3.60 lakh,"72,960 km",CNG,Missing Transmission
2017 Ford Ecosport,₹3.56 lakh,"64,230 km",CNG,Manual
2017 Hyundai Verna,₹5.95 lakh,"45,490 km",Petrol,Manual
2018 Tata NEXON,₹4.00 lakh,"1,33,124 km",Diesel,Missing Transmission
2017 Maruti S Cross,₹4.60 lakh,"59,616 km",Diesel,Manual
2022 Tata Tiago,₹4.75 lakh,"73,347 km",CNG,Manual
2018 Maruti Baleno,₹3.30 lakh,"59,054 km",Petrol,Manual
2017 Maruti Baleno,₹2.95 lakh,"1,18,767 km",CNG,Manual
2018 Maruti Baleno,₹4.50 lakh,"47,470 km",Petrol,Manual
2019 Maruti Baleno,₹3.80 lakh,"35,129 km",Petrol,Manual
2017 Hyundai Elite i20,₹4.50 lakh,"58,937 km",Petrol,Manual
2015 Honda Brio,₹1.85 lakh,"60,298 km",Petrol,Manual
2021 Maruti Swift,₹4.38 lakh,"65,000 km",Petrol,Manual
2019 Honda WR-V,₹3.55 lakh,"37,720 km",Petrol,Manual
2023 Maruti Swift,₹5.52 lakh,"50,446 km",Petrol,Manual
2019 Maruti Baleno,₹3.30 lakh,"46,681 km",CNG,Manual
2017 Hyundai Elite i20,₹3.25 lakh,"73,157 km",Petrol,Manual
2022 Tata Tiago,₹4.50 lakh,"56,574 km",CNG,Manual
2011 Hyundai Santro Xing,₹0.67 lakh,"81,140 km",CNG,Manual
2013 Honda Amaze,₹1.51 lakh,"66,876 km",Petrol,Manual
2015 Hyundai Creta,₹3.80 lakh,"36,482 km",Petrol,Manual
2014 Honda Amaze,₹3.00 lakh,"50,705 km",Petrol,Manual
2015 Hyundai Creta,₹4.50 lakh,"26,759 km",Petrol,Manual
2019 Tata Tiago,₹3.50 lakh,"88,548 km",CNG,Manual
2015 Honda City,₹3.66 lakh,"1,05,261 km",Petrol,Manual
2019 Maruti New Wagon-R,₹3.00 lakh,"60,286 km",Petrol,Manual
2021 Maruti Alto,₹3.50 lakh,"89,653 km",CNG,Manual
2018 Maruti Wagon R 1.0,₹3.50 lakh,"1,16,979 km",CNG,Manual
2016 Hyundai Grand i10,₹2.20 lakh,"91,638 km",Petrol,Manual
2017 Hyundai Elite i20,₹3.50 lakh,"1,23,621 km",Petrol,Manual
2018 Honda WR-V,₹4.40 lakh,"97,621 km",Petrol,Manual
2016 Mahindra XUV500,₹3.75 lakh,"30,782 km",Diesel,Manual
2020 Hyundai GRAND I10 NIOS,₹4.50 lakh,"82,903 km",CNG,Manual
2019 Hyundai Creta,₹6.00 lakh,"65,378 km",Petrol,Manual
2021 Tata NEXON,₹6.10 lakh,"50,663 km",Petrol,Missing Transmission
2018 Hyundai Creta,₹6.38 lakh,"2,01,953 km",Petrol,Manual
2019 Honda City,₹7.00 lakh,"64,992 km",Petrol,Manual
2016 Honda BR-V,₹3.00 lakh,"2,13,436 km",Diesel,Manual
2020 Maruti New Wagon-R,₹4.20 lakh,"26,568 km",Petrol,Manual
2021 Hyundai NEW I20,₹4.30 lakh,"29,957 km",Petrol,Manual
2013 Maruti Alto 800,₹1.45 lakh,"94,299 km",CNG,Manual
2014 Maruti Wagon R 1.0,₹1.80 lakh,"1,00,992 km",CNG,Manual
2013 Maruti Wagon R 1.0,₹1.84 lakh,"1,28,887 km",CNG,Manual
2013 Maruti Wagon R 1.0,₹1.69 lakh,"44,801 km",Petrol,Manual
2011 Hyundai Eon,₹0.80 lakh,"15,607 km",Petrol,Manual
2020 Hyundai AURA,₹3.75 lakh,"57,164 km",Petrol,Manual
2012 Toyota Etios,₹1.60 lakh,"80,493 km",Petrol,Manual
2019 Hyundai Verna,₹6.40 lakh,"90,938 km",CNG,Missing Transmission
2022 Maruti IGNIS,₹4.69 lakh,"18,881 km",Petrol,Manual
2019 Mahindra XUV500,₹9.40 lakh,"44,451 km",Diesel,Manual
2013 Maruti Wagon R 1.0,₹1.27 lakh,"1,03,553 km",CNG,Manual
2013 Maruti Wagon R 1.0,₹1.35 lakh,"1,89,385 km",CNG,Manual
2012 Maruti Alto,₹0.70 lakh,"97,869 km",Petrol,Manual
2013 Maruti Zen Estilo,₹0.93 lakh,"90,182 km",CNG,Manual
2012 Maruti Alto K10,₹0.85 lakh,"97,764 km",Petrol,Manual
2020 Maruti Alto,₹2.61 lakh,"52,581 km",CNG,Manual
2014 Maruti Wagon R 1.0,₹1.80 lakh,"1,29,978 km",CNG,Manual
2011 Honda City,₹1.58 lakh,"44,956 km",Petrol,Manual
2021 Hyundai Creta,₹9.20 lakh,"45,015 km",Diesel,Manual
2021 Hyundai Creta,₹9.50 lakh,"22,872 km",Petrol,Manual
2013 Nissan Terrano,₹1.75 lakh,"98,982 km",Petrol,Manual
2014 Maruti Wagon R 1.0,₹1.61 lakh,"87,084 km",CNG,Manual
2017 Honda City,₹3.00 lakh,"88,632 km",Petrol,Manual
2012 Hyundai i10,₹0.94 lakh,"38,849 km",Petrol,Manual
2013 Maruti Alto 800,₹1.32 lakh,"50,730 km",Petrol,Manual
2022 Hyundai Creta,₹11.50 lakh,"48,323 km",Petrol,Manual
2014 Maruti Wagon R 1.0,₹1.70 lakh,"94,412 km",Petrol,Manual
2012 Maruti Swift,₹1.50 lakh,"96,990 km",Petrol,Manual
2021 Hyundai Creta,₹9.00 lakh,"1,05,945 km",Diesel,Manual
2013 Maruti Wagon R 1.0,₹1.89 lakh,"58,526 km",Petrol,Manual
2023 Toyota Glanza,₹6.70 lakh,"66,223 km",Petrol,Missing Transmission
2018 Hyundai Xcent,₹3.60 lakh,"1,21,486 km",CNG,Manual
2015 Maruti Wagon R 1.0,₹1.70 lakh,"82,214 km",Petrol,Manual
2014 Maruti Wagon R 1.0,₹1.85 lakh,"85,703 km",CNG,Manual
2014 Maruti Wagon R 1.0,₹2.00 lakh,"73,656 km",CNG,Manual
2015 Maruti Eeco,₹1.65 lakh,"47,537 km",Petrol,Manual
2014 Hyundai Grand i10,₹2.10 lakh,"1,25,613 km",Petrol,Manual
2020 KIA SONET,₹5.90 lakh,"58,427 km",Petrol,Manual
2015 Maruti Wagon R 1.0,₹2.25 lakh,"94,889 km",Petrol,Manual
2016 Maruti Baleno,₹2.50 lakh,"68,383 km",Petrol,Manual
2013 Maruti Wagon R 1.0,₹1.45 lakh,"1,85,459 km",CNG,Manual
2013 Maruti Wagon R 1.0,₹1.50 lakh,"95,417 km",CNG,Manual
2022 MG ASTOR,₹7.20 lakh,"56,743 km",Petrol,Manual
2017 Datsun Redi Go,₹1.91 lakh,"75,905 km",Petrol,Manual
2011 Maruti Alto K10,₹0.73 lakh,"1,06,893 km",Petrol,Manual
2012 Maruti Wagon R 1.0,₹1.22 lakh,"1,19,823 km",CNG,Manual
2012 Hyundai Santro Xing,₹0.90 lakh,"1,03,389 km",CNG,Manual
2014 Maruti Wagon R 1.0,₹1.90 lakh,"62,949 km",Petrol,Manual
2013 Maruti Alto 800,₹1.20 lakh,"83,333 km",Petrol,Manual
2012 Maruti Swift,₹2.10 lakh,"1,16,387 km",Petrol,Manual
2011 Honda City,₹1.10 lakh,"2,02,450 km",CNG,Manual
2012 Honda City,₹1.20 lakh,"1,59,152 km",Petrol,Manual
2016 Hyundai Grand i10,₹3.40 lakh,"41,931 km",Petrol,Manual
2012 Maruti Swift,₹1.80 lakh,"58,298 km",Petrol,Manual
2011 Hyundai i10,₹1.13 lakh,"41,220 km",Petrol,Manual
2012 Maruti Swift,₹1.80 lakh,"97,888 km",CNG,Manual
2011 Maruti Alto,₹0.70 lakh,"1,09,315 km",CNG,Manual
2013 Maruti Alto 800,₹1.35 lakh,"30,719 km",CNG,Manual
2013 Hyundai i20,₹2.20 lakh,"72,000 km",Petrol,Manual
2024 Maruti Baleno,₹5.70 lakh,"33,583 km",CNG,Manual
2022 Maruti XL6,₹10.19 lakh,"31,007 km",Petrol,Manual
2023 Tata NEXON,₹10.10 lakh,"24,631 km",Petrol,Manual
2016 Hyundai Elite i20,₹2.60 lakh,"1,56,173 km",Diesel,Manual
2016 Maruti Baleno,₹2.75 lakh,"68,676 km",Petrol,Manual
2011 Maruti Swift,₹1.30 lakh,"1,90,330 km",Petrol,Manual
2011 Hyundai i20,₹0.85 lakh,"1,60,727 km",CNG,Manual
