Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
CNG,Manual,185000,85703,2014,Maruti,Wagon R 1.0
CNG,Manual,200000,73656,2014,Maruti,Wagon R 1.0
Petrol,Manual,165000,47537,2015,Maruti,Eeco
Petrol,Manual,210000,125613,2014,Hyundai,Grand i10
Petrol,Manual,590000,58427,2020,KIA,SONET
Petrol,Manual,225000,94889,2015,Maruti,Wagon R 1.0
Petrol,Manual,250000,68383,2016,Maruti,Baleno
CNG,Manual,145000,185459,2013,Maruti,Wagon R 1.0
CNG,Manual,150000,95417,2013,Maruti,Wagon R 1.0
Petrol,Manual,720000,56743,2022,MG,ASTOR
Petrol,Manual,191000,75905,2017,Datsun,Redi Go
Petrol,Manual,73000,106893,2011,Maruti,Alto K10
CNG,Manual,122000,119823,2012,Maruti,Wagon R 1.0
CNG,Manual,90000,103389,2012,Hyundai,Santro Xing
Petrol,Manual,190000,62949,2014,Maruti,Wagon R 1.0
Petrol,Manual,120000,83333,2013,Maruti,Alto 800
Petrol,Manual,210000,116387,2012,Maruti,Swift
CNG,Manual,110000,202450,2011,Honda,City
Petrol,Manual,120000,159152,2012,Honda,City
Petrol,Manual,340000,41931,2016,Hyundai,Grand i10
Petrol,Manual,180000,58298,2012,Maruti,Swift
Petrol,Manual,112999,41220,2011,Hyundai,i10
CNG,Manual,180000,97888,2012,Maruti,Swift
CNG,Manual,70000,109315,2011,Maruti,Alto
CNG,Manual,135000,30719,2013,Maruti,Alto 800
Petrol,Manual,220000,72000,2013,Hyundai,i20
CNG,Manual,570000,33583,2024,Maruti,Baleno
Petrol,Manual,1019000,31007,2022,Maruti,XL6
Petrol,Manual,1010000,24631,2023,Tata,NEXON
Diesel,Manual,260000,156173,2016,Hyundai,Elite i20
Petrol,Manual,275000,68676,2016,Maruti,Baleno
Petrol,Manual,130000,190330,2011,Maruti,Swift
CNG,Manual,85000,160727,2011,Hyundai,i20
